Site,TimeStamp,DO_mgL
Azevedo Pond,5/4/21 16:45,0.6
Azevedo Pond,5/4/21 17:00,1.2
Azevedo Pond,5/4/21 17:15,2.2
Azevedo Pond,5/4/21 17:30,3.2
Azevedo Pond,5/4/21 17:45,3.6
Azevedo Pond,5/4/21 18:00,3.5
Azevedo Pond,5/4/21 18:15,3
Azevedo Pond,5/4/21 18:30,1.5
Azevedo Pond,5/4/21 18:45,0.7
Azevedo Pond,5/4/21 19:00,0
Azevedo Pond,5/4/21 19:15,0
Azevedo Pond,5/4/21 19:30,0.5
Azevedo Pond,5/4/21 19:45,0.8
Azevedo Pond,5/4/21 20:00,0.1
Azevedo Pond,5/4/21 20:15,0
Azevedo Pond,5/4/21 20:30,0
Azevedo Pond,5/4/21 20:45,0.1
Azevedo Pond,5/4/21 21:00,1.2
Azevedo Pond,5/4/21 21:15,2.7
Azevedo Pond,5/4/21 21:30,3
Azevedo Pond,5/4/21 21:45,3.1
Azevedo Pond,5/4/21 22:00,3.2
Azevedo Pond,5/4/21 22:15,2.9
Azevedo Pond,5/4/21 22:30,2.5
Azevedo Pond,5/4/21 22:45,2.2
Azevedo Pond,5/4/21 23:00,2
Azevedo Pond,5/4/21 23:15,1.8
Azevedo Pond,5/4/21 23:30,1.7
Azevedo Pond,5/4/21 23:45,1.4
Azevedo Pond,5/5/21 0:00,1.1
Azevedo Pond,5/5/21 0:15,1.2
Azevedo Pond,5/5/21 0:30,1
Azevedo Pond,5/5/21 0:45,0.9
Azevedo Pond,5/5/21 1:00,0.4
Azevedo Pond,5/5/21 1:15,0.4
Azevedo Pond,5/5/21 1:30,0.6
Azevedo Pond,5/5/21 1:45,0.3
Azevedo Pond,5/5/21 2:00,0.3
Azevedo Pond,5/5/21 2:15,0.3
Azevedo Pond,5/5/21 2:30,0.2
Azevedo Pond,5/5/21 2:45,0.2
Azevedo Pond,5/5/21 3:00,0.1
Azevedo Pond,5/5/21 3:15,0.1
Azevedo Pond,5/5/21 3:30,0
