Site,TimeStamp,DO_mgL
Vierra Mouth,5/6/21 22:30,8.7
Vierra Mouth,5/6/21 22:45,8.6
Vierra Mouth,5/6/21 23:00,8.6
Vierra Mouth,5/6/21 23:15,8.5
Vierra Mouth,5/6/21 23:30,8.4
Vierra Mouth,5/6/21 23:45,8.3
Vierra Mouth,5/7/21 0:00,8.2
Vierra Mouth,5/7/21 0:15,8.1
Vierra Mouth,5/7/21 0:30,8
Vierra Mouth,5/7/21 0:45,7.9
Vierra Mouth,5/7/21 1:00,7.7
Vierra Mouth,5/7/21 1:15,7.7
Vierra Mouth,5/7/21 1:30,7.5
Vierra Mouth,5/7/21 1:45,7.3
Vierra Mouth,5/7/21 2:00,6.8
Vierra Mouth,5/7/21 2:15,7.3
Vierra Mouth,5/7/21 2:30,7.2
Vierra Mouth,5/7/21 2:45,7.2
Vierra Mouth,5/7/21 3:00,6.9
Vierra Mouth,5/7/21 3:15,7.1
Vierra Mouth,5/7/21 3:30,7.1
Vierra Mouth,5/7/21 3:45,7
Vierra Mouth,5/7/21 4:00,6.6
Vierra Mouth,5/7/21 4:15,6.8
Vierra Mouth,5/7/21 4:30,7.4
Vierra Mouth,5/7/21 4:45,7.5
Vierra Mouth,5/7/21 5:00,7.9
Vierra Mouth,5/7/21 5:15,8.3
Vierra Mouth,5/7/21 5:30,8.3
Vierra Mouth,5/7/21 5:45,8.3
Vierra Mouth,5/7/21 6:00,8.3
Vierra Mouth,5/7/21 6:15,8.3
Vierra Mouth,5/7/21 6:30,8.3
Vierra Mouth,5/7/21 6:45,8.3
Vierra Mouth,5/7/21 7:00,8.4
Vierra Mouth,5/7/21 7:15,8.5
Vierra Mouth,5/7/21 7:30,8.5
