Site,TimeStamp,DO_mgL
North Marsh,5/7/21 0:30,2.2
North Marsh,5/7/21 0:45,3.2
North Marsh,5/7/21 1:00,2.8
North Marsh,5/7/21 1:15,2.8
North Marsh,5/7/21 1:30,2.6
North Marsh,5/7/21 1:45,2.8
North Marsh,5/7/21 2:00,2.2
North Marsh,5/7/21 2:15,2.6
North Marsh,5/7/21 2:30,1.7
North Marsh,5/7/21 2:45,2.3
North Marsh,5/7/21 3:00,2.7
North Marsh,5/7/21 3:15,2.5
North Marsh,5/7/21 3:30,2.3
North Marsh,5/7/21 3:45,1.9
North Marsh,5/7/21 4:00,1.2
North Marsh,5/7/21 4:15,0.9
North Marsh,5/7/21 4:30,1.4
North Marsh,5/7/21 4:45,0.7
North Marsh,5/7/21 5:00,1.4
North Marsh,5/7/21 5:15,2
North Marsh,5/7/21 5:30,2.3
North Marsh,5/7/21 5:45,2.8
North Marsh,5/7/21 6:00,3.2
North Marsh,5/7/21 6:15,3.8
North Marsh,5/7/21 6:30,4.2
North Marsh,5/7/21 6:45,4.5
North Marsh,5/7/21 7:00,4.8
North Marsh,5/7/21 7:15,5.3
North Marsh,5/7/21 7:30,5.7
North Marsh,5/7/21 7:45,5.9
North Marsh,5/7/21 8:00,6.2
North Marsh,5/7/21 8:15,6.5
North Marsh,5/7/21 8:30,6.7
North Marsh,5/7/21 8:45,6.9
North Marsh,5/7/21 9:00,6.9
North Marsh,5/7/21 9:15,7.1
North Marsh,5/7/21 9:30,7.3
North Marsh,5/7/21 9:45,7.4
North Marsh,5/7/21 10:00,7.5
North Marsh,5/7/21 10:15,7.4
North Marsh,5/7/21 10:30,7.5
North Marsh,5/7/21 10:45,7.4
North Marsh,5/7/21 11:00,6.8
North Marsh,5/7/21 11:15,7.9
North Marsh,5/7/21 11:30,8.3
North Marsh,5/7/21 11:45,8.4
North Marsh,5/7/21 12:00,8.2
North Marsh,5/7/21 12:15,8.9
North Marsh,5/7/21 12:30,8.5
